,Player_Id,Player_Name,No_of_Matches,Bat,Bowl,is_bowler,T_Score,T_Score1,Bat1,T_Score2,Bat2,MPlayed_2007,Team_2008,MPlayed_2008,Team_2009,MPlayed_2009,Team_2010,MPlayed_2010,Team_2011,MPlayed_2011,Team_2012,MPlayed_2012,Team_2013,MPlayed_2013,Team_2014,MPlayed_2014,Team_2015,MPlayed_2015,Team_2016,MPlayed_2016,Team_2017,MPlayed_2017,Team_2018,MPlayed_2018,Team_2019
278,279,BJ Haddin,1,11,0,0,18,18,11,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
279,280,NLTC Perera,38,325,715,1,423,216,178,205,145,0,0,0,0,0,3,1,9,5,7,8,11,23,0,19,4,18,12,14,0,14,0,14,0
280,281,NL McCullum,2,23,30,1,26,11,7,15,16,0,0,0,0,0,0,0,10,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
281,282,JE Taylor,5,4,122,1,3,1,2,2,2,0,0,0,0,0,0,0,10,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
282,283,J Syed Mohammad,11,27,196,1,29,0,0,29,27,0,0,0,0,0,0,0,2,5,2,7,2,11,0,6,0,4,0,0,0,0,0,0,0
283,284,RN ten Doeschate,26,238,83,0,326,185,133,141,105,0,0,0,0,0,0,0,1,4,1,7,1,11,1,16,1,19,0,15,0,6,0,6,0
284,285,TR Birt,5,59,0,0,75,47,28,28,31,0,0,0,0,0,0,0,6,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
285,286,AG Murtaza,12,14,269,1,10,2,5,8,9,0,0,0,0,0,7,3,7,8,10,9,10,9,0,4,0,3,0,0,0,0,0,0,0
286,287,Harpreet Singh,3,26,0,0,20,13,19,7,7,0,0,0,0,0,0,0,10,2,10,3,0,3,0,1,0,0,0,0,0,0,0,0,0
287,288,M Klinger,4,78,0,0,73,53,51,20,27,0,0,0,0,0,0,0,9,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
288,289,AC Blizzard,7,91,0,0,120,43,30,77,61,0,0,0,0,0,0,0,7,6,7,7,0,7,0,1,0,0,0,0,0,0,0,0,0
